heading_x;heading_z
-0.5098;0.860293
-0.511291;0.859408
-0.512841;0.858484
-0.51445;0.857521
-0.516117;0.856518
-0.517844;0.855475
-0.519629;0.854392
-0.521475;0.853267
-0.523379;0.8521
-0.525343;0.85089
-0.527367;0.849637
-0.529451;0.848341
-0.531595;0.846999
-0.533798;0.845612
-0.536062;0.844179
-0.538386;0.842698
-0.540771;0.84117
-0.543215;0.839593
-0.545721;0.837967
-0.548286;0.836291
-0.550912;0.834563
-0.553599;0.832783
-0.556346;0.830951
-0.559154;0.829064
-0.562022;0.827122
-0.564951;0.825125
-0.56794;0.82307
-0.570989;0.820958
-0.574098;0.818786
-0.577267;0.816555
-0.580497;0.814263
-0.583785;0.811908
-0.587133;0.80949
-0.59054;0.807008
-0.594006;0.80446
-0.59753;0.801846
-0.601113;0.799164
-0.604753;0.796413
-0.60845;0.793592
-0.612204;0.790699
-0.616015;0.787735
-0.619881;0.784696
-0.623801;0.781583
-0.627777;0.778394
-0.631805;0.775127
-0.635887;0.771782
-0.64002;0.768358
-0.644205;0.764853
-0.648439;0.761266
-0.652723;0.757597
-0.657054;0.753843
-0.661433;0.750004
-0.665857;0.746079
-0.670325;0.742067
-0.674837;0.737967
-0.67939;0.733778
-0.683983;0.729498
-0.688614;0.725128
-0.693283;0.720665
-0.697987;0.716111
-0.702724;0.711462
-0.707493;0.70672
-0.712292;0.701883
-0.717118;0.696951
-0.721971;0.691924
-0.726847;0.6868
-0.731744;0.68158
-0.73666;0.676263
-0.741593;0.67085
-0.74654;0.66534
-0.7515;0.659733
-0.756469;0.65403
-0.761414;0.648266
-0.766224;0.642573
-0.770891;0.636967
-0.775417;0.63145
-0.779803;0.626025
-0.784051;0.620696
-0.788164;0.615465
-0.792144;0.610334
-0.795992;0.605307
-0.799711;0.600385
-0.803304;0.59557
-0.806771;0.590864
-0.810116;0.586269
-0.813341;0.581787
-0.816448;0.577418
-0.81944;0.573165
-0.822318;0.569028
-0.825085;0.565009
-0.827743;0.561108
-0.830294;0.557326
-0.83274;0.553664
-0.835084;0.550123
-0.837327;0.546702
-0.839471;0.543404
-0.841519;0.540227
-0.843472;0.537173
-0.845332;0.534241
-0.847101;0.531431
-0.848781;0.528745
-0.850372;0.526181
-0.851878;0.523741
-0.853299;0.521423
-0.854636;0.519228
-0.855892;0.517155
-0.857067;0.515205
-0.858163;0.513378
-0.85918;0.511673
-0.860121;0.51009
-0.860986;0.508629
-0.861776;0.507289
-0.862492;0.50607
-0.863135;0.504973
-0.863706;0.503996
-0.864205;0.503139
-0.864634;0.502403
-0.864992;0.501787
-0.86528;0.501289
-0.865499;0.500911
-0.865649;0.500652
-0.86573;0.500511
-0.865743;0.500488
-0.865688;0.500583
-0.865565;0.500796
-0.865375;0.501125
-0.865116;0.501571
-0.86479;0.502133
-0.864396;0.502811
-0.863934;0.503605
-0.863404;0.504514
-0.862805;0.505537
-0.862137;0.506675
-0.8614;0.507927
-0.860594;0.509292
-0.859718;0.51077
-0.858771;0.51236
-0.857752;0.514063
-0.856662;0.515878
-0.8555;0.517803
-0.854264;0.519839
-0.852955;0.521985
-0.85157;0.52424
-0.85011;0.526605
-0.848574;0.529077
-0.84696;0.531657
-0.845267;0.534344
-0.843495;0.537136
-0.841643;0.540034
-0.839709;0.543037
-0.837692;0.546142
-0.835592;0.549351
-0.833406;0.552661
-0.831135;0.556071
-0.828776;0.559581
-0.826328;0.563189
-0.823791;0.566894
-0.821162;0.570695
-0.818442;0.57459
-0.815627;0.578578
-0.812718;0.582657
-0.809713;0.586826
-0.806611;0.591082
-0.803411;0.595425
-0.800111;0.599853
-0.79671;0.604362
-0.793207;0.608952
-0.789601;0.61362
-0.785892;0.618364
-0.782077;0.623181
-0.778157;0.62807
-0.77413;0.633027
-0.769995;0.638049
-0.765752;0.643135
-0.761401;0.648281
-0.75694;0.653484
-0.752369;0.658742
-0.747688;0.66405
-0.742896;0.669406
-0.737994;0.674807
-0.732981;0.680249
-0.727857;0.685728
-0.722623;0.691242
-0.717279;0.696786
-0.711826;0.702356
-0.706263;0.707949
-0.700593;0.713561
-0.694813;0.71919
-0.68893;0.724828
-0.682941;0.730474
-0.676848;0.736122
-0.670654;0.74177
-0.66436;0.747413
-0.657967;0.753047
-0.651477;0.758668
-0.644894;0.764272
-0.638219;0.769855
-0.631454;0.775413
-0.624603;0.780943
-0.617667;0.78644
-0.61065;0.7919
-0.603572;0.797309
-0.596519;0.802599
-0.589502;0.807767
-0.58252;0.812817
-0.575571;0.817752
-0.568654;0.822577
-0.561769;0.827294
-0.554913;0.831908
-0.548087;0.836422
-0.541287;0.840838
-0.534514;0.84516
-0.527765;0.849391
-0.521038;0.853533
-0.514334;0.85759
-0.507649;0.861564
-0.500984;0.865457
-0.494336;0.869271
-0.487704;0.873009
-0.481086;0.876673
-0.474481;0.880266
-0.467888;0.883788
-0.461304;0.887242
-0.454728;0.89063
-0.44816;0.893954
-0.441596;0.897214
-0.435036;0.900413
-0.428479;0.903552
-0.421921;0.906632
-0.415363;0.909656
-0.408803;0.912623
-0.402238;0.915535
-0.395667;0.918394
-0.389089;0.9212
-0.382501;0.923955
-0.375903;0.926659
-0.369293;0.929313
-0.362668;0.931918
-0.356028;0.934475
-0.34937;0.936985
-0.342693;0.939447
-0.335996;0.941864
-0.329275;0.944234
-0.322531;0.946559
-0.31576;0.948839
-0.308961;0.951075
-0.302132;0.953266
-0.295272;0.955413
-0.288378;0.957517
-0.281449;0.959576
-0.274482;0.961592
-0.267476;0.963564
-0.260429;0.965493
-0.253339;0.967378
-0.246203;0.969218
-0.23902;0.971015
-0.231788;0.972766
-0.224504;0.974473
-0.217166;0.976135
-0.209773;0.97775
-0.202321;0.979319
-0.19481;0.980841
-0.187235;0.982315
-0.179596;0.98374
-0.17189;0.985116
-0.164114;0.986441
-0.156266;0.987715
-0.148344;0.988936
-0.140345;0.990103
-0.132266;0.991214
-0.124106;0.992269
-0.115861;0.993265
-0.107528;0.994202
-0.099106;0.995077
-0.090592;0.995888
-0.081982;0.996634
-0.073274;0.997312
-0.064466;0.99792
-0.055554;0.998456
-0.046536;0.998917
-0.037409;0.9993
-0.02817;0.999603
-0.018816;0.999823
-0.009344;0.999956
0.000247;1.0
0.009962;0.99995
0.019803;0.999804
0.029773;0.999557
0.039874;0.999205
0.050109;0.998744
0.060482;0.998169
0.070993;0.997477
0.081646;0.996661
0.092444;0.995718
0.103388;0.994641
0.11448;0.993426
0.125723;0.992065
0.137118;0.990555
0.148667;0.988887
0.160371;0.987057
0.172232;0.985056
0.184251;0.982879
0.196427;0.980518
0.208761;0.977967
0.221254;0.975216
0.233904;0.97226
0.24671;0.969089
0.259672;0.965697
0.272787;0.962074
0.286053;0.958214
0.299467;0.954107
0.313026;0.949745
0.326724;0.94512
0.340559;0.940223
0.354522;0.935047
0.36861;0.929584
0.382813;0.923826
0.397125;0.917765
0.411536;0.911393
0.426038;0.904705
0.440618;0.897695
0.455267;0.890355
0.469973;0.882681
0.484722;0.874668
0.499501;0.866313
0.514295;0.857613
0.529089;0.848566
0.543867;0.839172
0.558612;0.829429
0.573308;0.81934
0.587937;0.808907
0.602481;0.798133
0.616921;0.787025
0.631241;0.775587
0.645388;0.763855
0.659165;0.751998
0.672542;0.740059
0.685519;0.728055
0.698099;0.716001
0.710287;0.703912
0.722087;0.691802
0.733504;0.679685
0.744545;0.667572
0.755218;0.655474
0.765529;0.643402
0.775486;0.631364
0.7851;0.61937
0.794375;0.607427
