path_x; path_z
-385.049839; 133.194688
-385.5479; 133.935881
-386.048496; 134.675365
-386.55168; 135.41309
-387.057506; 136.149006
-387.566028; 136.883062
-388.0773; 137.615204
-388.591375; 138.345381
-389.108307; 139.073538
-389.628148; 139.799621
-390.150953; 140.523572
-390.676774; 141.245335
-391.205664; 141.964853
-391.737667; 142.682055
-392.272852; 143.396905
-392.811262; 144.109329
-393.352948; 144.819264
-393.897961; 145.526649
-394.446351; 146.231418
-394.998169; 146.933507
-395.553463; 147.632849
-396.112283; 148.329377
-396.674676; 149.023023
-397.240691; 149.713716
-397.810374; 150.401387
-398.38377; 151.085965
-398.960926; 151.767376
-399.541885; 152.445547
-400.126681; 153.120393
-400.715377; 153.791861
-401.308002; 154.459862
-401.904598; 155.124319
-402.505203; 155.785154
-403.109856; 156.442288
-403.718592; 157.09564
-404.331447; 157.74513
-404.948455; 158.390677
-405.569648; 159.032197
-406.195056; 159.669608
-406.824709; 160.302827
-407.458634; 160.931768
-408.096856; 161.556348
-408.739401; 162.176481
-409.386314; 162.792106
-410.037536; 163.40306
-410.69317; 164.009338
-411.353189; 164.610814
-412.017632; 165.207423
-412.686499; 165.799069
-413.359793; 166.385659
-414.037546; 166.967141
-414.719639; 167.543487
-415.405963; 168.114789
-416.096392; 168.681124
-416.7908; 169.242573
-417.489063; 169.799221
-418.191061; 170.351154
-418.896668; 170.898458
-419.60577; 171.441227
-420.318252; 171.979553
-421.033998; 172.513532
-421.752897; 173.04326
-422.474838; 173.568836
-423.199713; 174.090359
-423.927418; 174.607932
-424.657837; 175.121649
-425.390878; 175.631622
-426.126441; 176.137953
-426.864426; 176.640748
-427.604738; 177.140114
-428.347282; 177.636156
-429.091964; 178.128983
-429.838712; 178.618712
-430.587393; 179.105424
-431.337947; 179.589247
-432.09029; 180.070288
-432.844337; 180.548658
-433.600005; 181.024465
-434.357213; 181.497818
-435.115882; 181.968828
-435.875935; 182.437604
-436.637323; 182.904273
-437.399905; 183.368903
-438.163646; 183.83163
-438.928474; 184.292562
-439.694318; 184.751808
-440.461106; 185.209477
-441.22877; 185.665679
-441.99724; 186.120523
-442.76645; 186.574115
-443.536333; 187.026566
-444.306853; 187.478
-445.077878; 187.928487
-445.849382; 188.378156
-446.621302; 188.827115
-447.393573; 189.27547
-448.166134; 189.723328
-448.938922; 190.170797
-449.711875; 190.61798
-450.484931; 191.064986
-451.25803; 191.511918
-452.031111; 191.958883
-452.804133; 192.405998
-453.576992; 192.85334
-454.34965; 193.301029
-455.122049; 193.749168
-455.894125; 194.197862
-456.665821; 194.647213
-457.437073; 195.097324
-458.207821; 195.548298
-458.978004; 196.000237
-459.74756; 196.453243
-460.516427; 196.907417
-461.284529; 197.362853
-462.051854; 197.819681
-462.818278; 198.277965
-463.58376; 198.73782
-464.348237; 199.199344
-465.111643; 199.662638
-465.873913; 200.127799
-466.63498; 200.594925
-467.394778; 201.064114
-468.153237; 201.535463
-468.91029; 202.009067
-469.665867; 202.485023
-470.419885; 202.963418
-471.172312; 203.444372
-471.923033; 203.927949
-472.67199; 204.414254
-473.419109; 204.903378
-474.164314; 205.395413
-474.907529; 205.890449
-475.648677; 206.388574
-476.387679; 206.889878
-477.124456; 207.394447
-477.858926; 207.902368
-478.591008; 208.413724
-479.320618; 208.928601
-480.047676; 209.447082
-480.772087; 209.96924
-481.493771; 210.495161
-482.212642; 211.024922
-482.928611; 211.558599
-483.641588; 212.096267
-484.351483; 212.637998
-485.058205; 213.183864
-485.761662; 213.733932
